uf	municipio	total	quantidade	percentual
CE	ARNEIROZ	203	2	0.99
CE	ASSARE	539	17	3.15
CE	AURORA	1017	18	1.77
CE	BAIXIO	323	9	2.79
CE	BANABUIU	464	4	0.86
CE	BARBALHA	2626	85	3.24
CE	BARREIRA	782	1	0.13
CE	BARRO	934	14	1.50
CE	BARROQUINHA	474	5	1.05
CE	BATURITE	1703	19	1.12
CE	BEBERIBE	1627	43	2.64
CE	BELA CRUZ	933	11	1.18
CE	BOA VIAGEM	1426	33	2.31
CE	BREJO SANT	1	0	0.00
CE	BREJO SANTO	2172	37	1.70
CE	CAMOCIM	2528	43	1.70
CE	CAMPOS SALES	865	30	3.47
CE	CANINDE	3146	101	3.21
CE	CAPISTRANO	785	19	2.42
CE	CARIDADE	372	8	2.15
CE	CARIRE	460	5	1.09
CE	CARIRIACU	610	15	2.46
