id	qtdtotal	qtdamarelo	qtdindigeno	qtdpreto	qtdpardo	qtdbranco	qtdcota	prcamarelo	prcindigeno	prcpreto	prcpardo	prcbranco	prccota
319	528	30	4	76	269	128	128	5.68	0.76	14.39	50.95	24.24	66.10
320	213	7	3	28	124	51	51	3.29	1.41	13.15	58.22	23.94	72.77
321	190	4	4	40	102	31	31	2.11	2.11	21.05	53.68	16.32	76.84
322	256	7	1	23	155	41	41	2.73	0.39	8.98	60.55	16.02	69.92
323	302	4	0	44	193	57	57	1.32	0.00	14.57	63.91	18.87	78.48
324	4641	91	22	1637	2324	452	452	1.96	0.47	35.27	50.08	9.74	85.82
325	745	24	17	136	450	95	95	3.22	2.28	18.26	60.40	12.75	80.94
326	171	3	0	52	84	28	28	1.75	0.00	30.41	49.12	16.37	79.53
327	1500	52	12	499	723	166	166	3.47	0.80	33.27	48.20	11.07	82.27
328	211	5	0	7	68	128	128	2.37	0.00	3.32	32.23	60.66	35.55
329	127	0	0	52	53	22	22	0.00	0.00	40.94	41.73	17.32	82.68
330	262	3	2	74	139	44	44	1.15	0.76	28.24	53.05	16.79	82.06
331	189	1	0	35	131	21	21	0.53	0.00	18.52	69.31	11.11	87.83
332	971	20	9	320	500	92	92	2.06	0.93	32.96	51.49	9.47	85.38
333	139	5	0	20	70	42	42	3.60	0.00	14.39	50.36	30.22	64.75
334	405	11	2	72	237	64	64	2.72	0.49	17.78	58.52	15.80	76.79
335	835	19	11	79	543	160	160	2.28	1.32	9.46	65.03	19.16	75.81
336	1	0	0	0	1	0	0	0.00	0.00	0.00	100.00	0.00	100.00
